,port name,teu
2023,1 Shanghai,"49,158,300"
2023,2 Singapore,"39,010,000"
2023,3 Ningbo,"35,301,000"
2023,4 Shenzhen,"29,880,000"
2023,5 Qingdao,"28,770,000"
2023,6 Guangzhou,"25,414,400"
2023,7 Busan,"23,035,734"
2023,8 Tianjin,"22,187,200"
2023,9 Dubai,"14,472,000"
2023,10 HongKong,"14,401,000"
2023,11 PortKlang,"14,061,000"
2023,12 Rotterdam,"13,447,000"
2023,13 Xiamen,"12,553,700"
2023,14 AntwerpBrug,"12,500,000"
2023,15 TanjungPekar,"10,460,537"
2023,16 Los Angeles,"8,868,200"
2023,17 Kaohsiung,"8,833,830"
2023,18 Laem Chabang,"8,634,500"
2023,19 Tanjger,"8,614,400"
2023,20 Hamburg,"8,039,100"
2023,48 Tokyo,"4,570,000"
2023,72 Yokohama,"2,901,068"
2023,73 Kobe,"2,835,518"
