code,Port Name,latitude,longitude,country_code,zone_code
AEAUH,Abu Dhabi,24.4667,54.3667,AE,ME-MID
AEAMU,Abu Musa,25.8667,55.0167,AE,ME-MID
AEARP,Ahmed Bin Rashid Port,25.5333,55.55,AE,ME-MID
AEFJR,Al Fujayrah,25.1167,56.3333,AE,ME-MID
AEJAZ,Al Jazeera Port,25.7167,55.8,AE,ME-MID
AEAJP,Al Jeer Port,26.0333,56.05,AE,ME-MID
AERUW,Ar Ruways,24.1167,52.7333,AE,ME-MID
AEDBP,Dibba,25.6167,56.2667,AE,ME-MID
AEDXB,Dubai,25.25,55.2667,AE,ME-MID
AEFRP,Free Port,25.25,55.25,AE,ME-MID
AEHZP,Hamriya Free Zone Port,25.3,55.3167,AE,ME-MID
AEHSN,Hassyan,24.9,54.9,AE,ME-MID
AEQWE,Jebel Ali,25,55.05,AE,ME-MID
AEKLB,Kalba,25.0667,56.35,AE,ME-MID
AEKLF,Khor al Fakkan,25.3333,56.35,AE,ME-MID
AEMKH,Mina Khalid,25.35,55.3667,AE,ME-MID
AEKHL,Mina Khalifa/Abu Dhabi,24.8333,54.6667,AE,ME-MID
AEMRP,Mina Rashid Port,25.2667,55.2833,AE,ME-MID
AEMZD,Mina Zayed/Abu Dhabi,24.5167,54.3667,AE,ME-MID
AEAMF,Mussafah,24.3833,54.4833,AE,ME-MID
AERKP,Rak Khor Port,25.8167,55.95,AE,ME-MID
AERMC,Rak Maritime City,25.95,56.05,AE,ME-MID
AERKT,Ras al Khaimah,25.7833,55.95,AE,ME-MID
AERWP,Ruwais Port,24.1,52.7167,AE,ME-MID
AESHJ,Sharjah,25.35,55.3833,AE,ME-MID
AEQIW,Umm al Quwain,25.5833,55.5833,AE,ME-MID
AEYAS,Yas Island,24.4958385,54.6040121,AE,ME-MID
AEZUR,Zirku Island,24.8833,53.0667,AE,ME-MID
AEJEA,Port of Jebel Ali,25,55.05,AE,ME-MID
AEAJM,Ajman,25.4052165,55.5136433,AE,ME-MID
AEDAS,Das Island,25.15,52.8833333,AE,ME-MID
AEDUJ,The Palm Jumeirah,25.115,55.1375,AE,ME-MID
AEEND,Esnnad,24.317,54.45,AE,ME-MID
AEHTL,Hulaylah Terminal,25.983,55.933,AE,ME-MID
AEJED,Jebel Dhanna,24.1915137,52.6126027,AE,ME-MID
AEMBS,Mubarras Island,24.5779154,53.3056266,AE,ME-MID
AEMSA,Mina Saqr,25.967,56.067,AE,ME-MID
AEPRA,Port Rashid,25.284755,55.2756505,AE,ME-MID
AERFA,Mirfa,24.0535567,53.4122052,AE,ME-MID
AESID,Sadiyat Island,24.533,54.4,AE,ME-MID
AEULR,Umm Al Nar,24.433,54.5,AE,ME-MID
AFDHD,Dehdadi,36.65,66.9833,AF,ME-IPB
AFQLT,Qalat,32.1,66.8833,AF,ME-IPB
AFRKH,Torkham,34.1298683,71.0839469,AF,ME-IPB
AZKMZ,Khachmaz,41.4591168,48.8020626,AZ,ME-MID
AZQDG,Qaradag,40.25,49.6,AZ,ME-MID
AZSHI,Shirvan,39.9167,48.9167,AZ,ME-MID
AZSUQ,Sumqayit,40.5833,49.6667,AZ,ME-MID
AZBAK,Baku,40.408005,49.86735,AZ,ME-MID
BDASJ,Ashuganj,24.0333,91.0167,BD,ME-IPB
BDBNP,Benapole,23.05,88.9,BD,ME-IPB
BDCGP,Chattogram,22.3333,91.8333,BD,ME-IPB
BDMUN,Munshiganj,23.5449195,90.5296275,BD,ME-IPB
BDPGN,Pangaon,23.65,90.45,BD,ME-IPB
