Port Name,Country,Latitude,Longitude,Year,TEU
Shanghai,China,31.2333,121.5,2019,43.3
Shanghai,China,31.2333,121.5,2020,43.5
Shanghai,China,31.2333,121.5,2021,47.03
Shanghai,China,31.2333,121.5,2022,47.3
Shanghai,China,31.2333,121.5,2023,49.16
Singapore,Singapore,1.3333,103.7,2019,37.2
Singapore,Singapore,1.3333,103.7,2020,36.9
Singapore,Singapore,1.3333,103.7,2021,37.49
Singapore,Singapore,1.3333,103.7,2022,37.29
Singapore,Singapore,1.3333,103.7,2023,39.01
Ningbo-Zhoushan,China,29.985295,122.207215,2019,27.49
Ningbo-Zhoushan,China,29.985295,122.207215,2020,28.72
Ningbo-Zhoushan,China,29.985295,122.207215,2021,31.07
Ningbo-Zhoushan,China,29.985295,122.207215,2022,33.35
Ningbo-Zhoushan,China,29.985295,122.207215,2023,35.3
Shenzhen,China,22.55,114.1167,2019,25.77
Shenzhen,China,22.55,114.1167,2020,26.55
Shenzhen,China,22.55,114.1167,2021,28.77
Shenzhen,China,22.55,114.1167,2022,30.04
Shenzhen,China,22.55,114.1167,2023,29.88
Guangzhou Harbor,China,23.1333,113.2333,2019,23.23
Guangzhou Harbor,China,23.1333,113.2333,2020,23.51
Guangzhou Harbor,China,23.1333,113.2333,2021,24.18
Guangzhou Harbor,China,23.1333,113.2333,2022,24.86
Guangzhou Harbor,China,23.1333,113.2333,2023,25.41
Busan,South Korea,35.1333,129.05,2019,21.99
Busan,South Korea,35.1333,129.05,2020,21.82
Busan,South Korea,35.1333,129.05,2021,22.71
Busan,South Korea,35.1333,129.05,2022,22.08
Busan,South Korea,35.1333,129.05,2023,23.04
Qingdao,China,36.05,120.3167,2019,21.01
Qingdao,China,36.05,120.3167,2020,22.01
Qingdao,China,36.05,120.3167,2021,23.71
Qingdao,China,36.05,120.3167,2022,25.67
Qingdao,China,36.05,120.3167,2023,28.77
Hong Kong,"S.A.R, China",38.45,118.4333,2019,18.3
Hong Kong,"S.A.R, China",38.45,118.4333,2020,17.95
Hong Kong,"S.A.R, China",38.45,118.4333,2021,17.8
Hong Kong,"S.A.R, China",38.45,118.4333,2022,16.69
Hong Kong,"S.A.R, China",38.45,118.4333,2023,14.4
Tianjin,China,39.0333,117.2,2019,17.3
Tianjin,China,39.0333,117.2,2020,18.35
Tianjin,China,39.0333,117.2,2021,20.27
Tianjin,China,39.0333,117.2,2022,22.02
Tianjin,China,39.0333,117.2,2023,22.19
Rotterdam,The Netherlands,51.95,4.1333,2019,14.82
Rotterdam,The Netherlands,51.95,4.1333,2020,14.35
Rotterdam,The Netherlands,51.95,4.1333,2021,15.3
Rotterdam,The Netherlands,51.95,4.1333,2022,14.46
Rotterdam,The Netherlands,51.95,4.1333,2023,13.45
Jebel Ali,"Dubai, United Arab Emirates",25.0,55.05,2019,14.11
Jebel Ali,"Dubai, United Arab Emirates",25.0,55.05,2020,13.5
Jebel Ali,"Dubai, United Arab Emirates",25.0,55.05,2021,13.74
Jebel Ali,"Dubai, United Arab Emirates",25.0,55.05,2022,13.97
Jebel Ali,"Dubai, United Arab Emirates",25.0,55.05,2023,14.47
Port Klang,Malaysia,2.9833,101.3833,2019,13.58
Port Klang,Malaysia,2.9833,101.3833,2020,13.24
Port Klang,Malaysia,2.9833,101.3833,2021,13.72
Port Klang,Malaysia,2.9833,101.3833,2022,13.22
Port Klang,Malaysia,2.9833,101.3833,2023,14.06
